,Category,top10,top10_scores
68,photoacoustic imaging microscopy,"['zoran duric', 'kenneth pasiah', 'ilhan izmirli', 'david lattanzi', 'david binning', 'robert simon', 'kuochu chang', 'quentin sanders', 'david kepplinger', 'shanjiang zhu']","[0.2594372608313854, 0.24235968331928104, 0.23398215222964935, 0.2266370798680294, 0.2160679078507215, 0.20145574100634506, 0.19373639515821486, 0.17953381732661922, 0.1769495820815235, 0.1679842102263232]"
69,bio nano sensors wearable,"['md tanvir arafin', 'pilgyu kang', 'david kepplinger', 'sai manoj pudukotai dinakarrao', 'lap fai craig yu', 'zhi tian', 'jyh ming lien', 'mohamed ibrahem', 'maryam parsa', 'gregory stein']","[0.1543033499620919, 0.13041013273932525, 0.08847479104076177, 0.07871603029325785, 0.07715167498104596, 0.07670354916731704, 0.06788442333021306, 0.05345224838248487, 0.05263968047576972, 0.05167423893288018]"
70,flexible sensors,"['pilgyu kang', 'gregory stein', 'david kepplinger', 'zhi tian', 'jyh ming lien', 'ilhan izmirli', 'david lattanzi', 'mohamed ibrahem', 'maryam parsa', 'wenying ji']","[0.10403129732205987, 0.07213811919707513, 0.07057846732405855, 0.06118826475725344, 0.05415303610738824, 0.04666329666137581, 0.04519846147055687, 0.04264014327112209, 0.04199193832168907, 0.04020151261036849]"
71,substance use disorders,"['peggy brouse', 'david lattanzi', 'gregory stein', 'kenneth pasiah', 'filipe veiga', 'sean luke', 'david binning', 'ilhan izmirli', 'jill nelson', 'sai manoj pudukotai dinakarrao']","[0.09491579957524991, 0.08713128900943559, 0.07151872490560969, 0.05797610929990149, 0.05785658200523978, 0.049319696191607185, 0.04651804633168584, 0.04497756179360139, 0.03473562589854552, 0.03228011557109066]"
72,aneurysm risk assessment,"['sean luke', 'ilhan izmirli', 'david binning', 'paulo costa', 'gregory stein', 'peggy brouse', 'giacomo francisci', 'david kepplinger', 'jason goldberg', 'kenneth pasiah']","[0.11666666666666667, 0.04559797126371523, 0.04042260417272217, 0.03675452309466475, 0.024168412226141592, 0.01924500897298753, 0.0, 0.0, 0.0, 0.0]"
73,data driven biomechanical simulation,"['md tanvir arafin', 'gregory stein', 'zoran duric', 'pilgyu kang', 'kuochu chang', 'nora mcdonald', 'omoche cheche agada', 'lap fai craig yu', 'filipe veiga', 'hoda hassan']","[0.07548513560963972, 0.07267717250599895, 0.07252377242938948, 0.07017624188217067, 0.06983477433621468, 0.06273207543060626, 0.06025435836007352, 0.05661385170722979, 0.05112498490614925, 0.04955841945417104]"
74,signal video analytics wellness,"['lap fai craig yu', 'zoran duric', 'omoche cheche agada', 'zhi tian', 'jill nelson', 'hoda hassan', 'robert simon', 'filipe veiga', 'md tanvir arafin', 'sara lynn gopalkrishna']","[0.14852213144650117, 0.11891287353862354, 0.10538181573016689, 0.09228716206291188, 0.08696565534786725, 0.07800764512385155, 0.07756315349925286, 0.05364900284614841, 0.04950737714883372, 0.04287464628562721]"
75,new clinical trial methods,"['david lattanzi', 'david binning', 'sean luke', 'filipe veiga', 'peggy brouse', 'kenneth pasiah', 'ilhan izmirli', 'zoran duric', 'quentin sanders', 'david kepplinger']","[0.15306260681989742, 0.11673965176399398, 0.10314212462587934, 0.09679622953764003, 0.0952786134680662, 0.09353205306662858, 0.09029897538757213, 0.07151619596132788, 0.06928613826964777, 0.06828882376266965]"
76,results clinical studies,"['filipe veiga', 'sai manoj pudukotai dinakarrao', 'paulo costa', 'mohamed ibrahem', 'gregory stein', 'hoda hassan', 'ilhan izmirli', 'peggy brouse', 'maryam parsa', 'david kepplinger']","[0.13545709229571928, 0.12281104360744607, 0.11140622746386529, 0.1058475493514314, 0.10232668823409038, 0.10212722555756198, 0.08950840334426315, 0.08888888888888889, 0.08844477175087206, 0.08760005513737437]"
77,viral infections,"['zhi tian', 'filipe veiga', 'david kepplinger', 'sai manoj pudukotai dinakarrao', 'kenneth pasiah', 'jill nelson', 'sara lynn gopalkrishna', 'david binning', 'hoda hassan', 'quentin sanders']","[0.06590621627456203, 0.0638550856814101, 0.050680303379961454, 0.05010030100351265, 0.041134503489486364, 0.03450327796711772, 0.03402069087198859, 0.033004918099222486, 0.030949223029508647, 0.030471381766800264]"
78,neuroinformatics computational neuroanatomy,"['lap fai craig yu', 'peggy brouse', 'shima mohebbi', 'md tanvir arafin', 'zoran duric', 'maryam parsa', 'sean luke', 'david binning', 'filipe veiga', 'hoda hassan']","[0.3061862178478973, 0.16329931618554522, 0.1559362351170901, 0.15309310892394865, 0.14708710135363803, 0.11605958636065741, 0.10606601717798213, 0.08574929257125442, 0.08295018954139965, 0.0804084401128346]"
79,computational experimental neuroplasticity memory,"['lap fai craig yu', 'maryam parsa', 'zhi tian', 'robert simon', 'sean luke', 'pilgyu kang', 'md tanvir arafin', 'zoran duric', 'nathalia peixoto', 'shanjiang zhu']","[0.11180339887498948, 0.0593305565668209, 0.04631416786472736, 0.03892494720807614, 0.03872983346207416, 0.03779644730092272, 0.037267799624996496, 0.03580574370197164, 0.03442651863295482, 0.03381003441389914]"
80,neural interfaces,"['lap fai craig yu', 'zoran duric', 'md tanvir arafin', 'omoche cheche agada', 'hoda hassan', 'robert simon', 'shima mohebbi', 'filipe veiga', 'maryam parsa', 'zhi tian']","[0.42640143271122094, 0.18776690404970273, 0.1599005372667079, 0.15127360741263993, 0.1493046695882278, 0.11134044285378084, 0.08822129643515376, 0.08663864733868618, 0.0808135229794045, 0.07948588753990432]"
81,construction health safety,"['md tanvir arafin', 'filipe veiga', 'jyh ming lien', 'maryam parsa', 'david lattanzi', 'sean luke', 'sai manoj pudukotai dinakarrao', 'pilgyu kang', 'gregory stein', 'lap fai craig yu']","[0.05412658773652741, 0.048878867937860934, 0.04762504762507144, 0.041033260268663295, 0.0397499205002385, 0.0375, 0.03681605202553619, 0.03659625273556999, 0.03625261833921238, 0.036084391824351615]"
82,modeling,"['shima mohebbi', 'md tanvir arafin', 'david kepplinger', 'david lattanzi', 'shanjiang zhu', 'filipe veiga', 'kenneth pasiah', 'gregory stein', 'omoche cheche agada', 'hoda hassan']","[0.0764540293979072, 0.060048057676907685, 0.04590731488048887, 0.04409857740283911, 0.0435813633640409, 0.04338098821823764, 0.041918088250877526, 0.0402186690128789, 0.021303132696226166, 0.021025856676559002]"
83,simulation,"['lap fai craig yu', 'omoche cheche agada', 'md tanvir arafin', 'zoran duric', 'hoda hassan', 'nora mcdonald', 'ilhan izmirli', 'robert simon', 'filipe veiga', 'shanjiang zhu']","[0.1636634176769943, 0.08709382882250234, 0.08183170883849716, 0.07862136275414389, 0.0716335318826566, 0.06800640801679171, 0.06204388744432805, 0.05698028822981897, 0.044338741347410934, 0.03959425806109991]"
84,virtualization,"['giacomo francisci', 'jason goldberg', 'saad karamat', 'ana gonzalez hernandez', 'jana kosecka', 'erion plaku', 'fang yi yu', 'haikun huang', 'lannan lisa luo', 'maha shamseddine']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
85,procurement economic models,"['shima mohebbi', 'filipe veiga', 'david kepplinger', 'peggy brouse', 'wenying ji', 'omoche cheche agada', 'kenneth pasiah', 'david binning', 'md tanvir arafin', 'david lattanzi']","[0.11026356928399425, 0.07038556983051975, 0.05793241220216575, 0.05773502691896258, 0.0565685424949238, 0.0537666760849798, 0.05037927218598784, 0.0485071250072666, 0.04330127018922193, 0.0423999152002544]"
86,project management,"['david lattanzi', 'kenneth pasiah', 'ilhan izmirli', 'zoran duric', 'david kepplinger', 'gregory stein', 'shanjiang zhu', 'quentin sanders', 'david binning', 'kuochu chang']","[0.22485950669875843, 0.19592938746675154, 0.17411022732018078, 0.14708710135363803, 0.1463014339951632, 0.14526200949274096, 0.1388888888888889, 0.1319449534923149, 0.12862393885688164, 0.12814458037269366]"
87,climate weather modeling remote sensing,"['filipe veiga', 'shima mohebbi', 'kenneth pasiah', 'gregory stein', 'md tanvir arafin', 'david lattanzi', 'ilhan izmirli', 'hoda hassan', 'sara lynn gopalkrishna', 'david kepplinger']","[0.12071025640383393, 0.05200262684366203, 0.05183984340243758, 0.04973818202309035, 0.03713053286162529, 0.03635762733502992, 0.03284394773980294, 0.03250318546827148, 0.028583097523751475, 0.02838664779018298]"
88,coastal building resilience,"['gregory stein', 'jyh ming lien', 'peggy brouse', 'maryam parsa', 'ilhan izmirli', 'david lattanzi', 'kenneth pasiah', 'pilgyu kang', 'wenying ji', 'pei dong']","[0.11493442008467827, 0.10065952899503389, 0.09152086306448588, 0.08920515501750789, 0.08673761991802317, 0.08401478790412123, 0.06845195147173637, 0.05524946201098299, 0.053376051268362375, 0.04890691894042119]"
89,environmental health,"['filipe veiga', 'gregory stein', 'sara lynn gopalkrishna', 'david kepplinger', 'david binning', 'hoda hassan', 'quentin sanders', 'zhi tian', 'paulo costa', 'shima mohebbi']","[0.04946193668294979, 0.030570892025787152, 0.026352313834736497, 0.026171196129510684, 0.025565499628245683, 0.023973165074269207, 0.023603030823749146, 0.02268921582603759, 0.017434201093860166, 0.017434201093860166]"
90,hydraulic land surface modeling,"['pilgyu kang', 'filipe veiga', 'david lattanzi', 'nora mcdonald', 'ilhan izmirli', 'david binning', 'shima mohebbi', 'shanjiang zhu', 'david kepplinger', 'kuochu chang']","[0.11002712914650947, 0.08817298679173811, 0.0880590229201142, 0.07829627719111582, 0.07467847360634614, 0.07195920781292549, 0.06870086033644654, 0.06526966120085359, 0.06384218677242352, 0.061126034977240847]"
91,pollution,"['filipe veiga', 'lap fai craig yu', 'hoda hassan', 'sean luke', 'sara lynn gopalkrishna', 'paulo costa', 'shima mohebbi', 'david binning', 'quentin sanders', 'gregory stein']","[0.0699497416782669, 0.06454972243679029, 0.05085476277156077, 0.044721359549995794, 0.0372677996249965, 0.036983525454115346, 0.036983525454115346, 0.036155076303109365, 0.03337972630405625, 0.03242532758753377]"
92,sustainability,"['shima mohebbi', 'giacomo francisci', 'david kepplinger', 'ilhan izmirli', 'jason goldberg', 'kenneth pasiah', 'saad karamat', 'ana gonzalez hernandez', 'jana kosecka', 'robert simon']","[0.07796811755854505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
93,building material properties structures,"['wenying ji', 'peggy brouse', 'gregory stein', 'david lattanzi', 'maryam parsa', 'shima mohebbi', 'ilhan izmirli', 'kenneth pasiah', 'jyh ming lien', 'nathalia peixoto']","[0.11600837868547963, 0.11050718531494018, 0.09251864426739873, 0.08695195601379904, 0.08078330666764363, 0.07914335543734977, 0.07854873127101183, 0.06198941066415539, 0.06077084968337263, 0.054686874161973056]"
94,geosynthetics,"['giacomo francisci', 'jason goldberg', 'saad karamat', 'ana gonzalez hernandez', 'jana kosecka', 'erion plaku', 'fang yi yu', 'haikun huang', 'lannan lisa luo', 'maha shamseddine']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
95,recycled materials geo environmental modeling,"['david lattanzi', 'shima mohebbi', 'omoche cheche agada', 'gregory stein', 'david kepplinger', 'nora mcdonald', 'sai manoj pudukotai dinakarrao', 'md tanvir arafin', 'kenneth pasiah', 'filipe veiga']","[0.09039692294111373, 0.08815601984727771, 0.05731546928688881, 0.056679950797701883, 0.05293385049304391, 0.05114771692875645, 0.04709525199137844, 0.04615930911724978, 0.042963587678107554, 0.04168403863601292]"
96,structural health monitoring inspection,"['jyh ming lien', 'md tanvir arafin', 'nora mcdonald', 'zhi tian', 'nathalia peixoto', 'wenying ji', 'kuochu chang', 'paulo costa', 'pilgyu kang', 'filipe veiga']","[0.14149998919097345, 0.13401406685472436, 0.13364719529685964, 0.12324298825633608, 0.1052273583003294, 0.10504514628777803, 0.10272842619627118, 0.10237715393400051, 0.09967105174025309, 0.09439641027889846]"
97,structural stress,"['jyh ming lien', 'wenying ji', 'md tanvir arafin', 'zhi tian', 'nora mcdonald', 'ilhan izmirli', 'shanjiang zhu', 'kuochu chang', 'pilgyu kang', 'david lattanzi']","[0.07332355751067665, 0.045360921162651446, 0.04166666666666667, 0.03797259681118444, 0.03462716805322219, 0.03159120118032817, 0.030240614108434295, 0.02936971557578177, 0.028171808490950554, 0.020399668712070152]"
98,,"['jyh ming lien', 'sai manoj pudukotai dinakarrao', 'pei dong', 'quentin sanders', 'nathalia peixoto', 'maryam parsa', 'shima mohebbi', 'shanjiang zhu', 'gregory stein', 'kuochu chang']","[0.08980265101338746, 0.06942101345006232, 0.030542361089076306, 0.026388990698462976, 0.023570226039551584, 0.023211917272131483, 0.019492029389636262, 0.018518518518518517, 0.017089648175616583, 0.013488903197125647]"
99,bio based transport,"['david binning', 'nathalia peixoto', 'maryam parsa', 'kenneth pasiah', 'pilgyu kang', 'shima mohebbi', 'ilhan izmirli', 'shanjiang zhu', 'paulo costa', 'sean luke']","[0.16236272901568413, 0.12171612389003691, 0.11986582537134602, 0.11957340983015192, 0.11581320482871724, 0.11575486798843168, 0.1148851722130022, 0.11475506210984937, 0.10568922729378545, 0.10041580220928045]"
100,electrical based transport,"['david binning', 'kenneth pasiah', 'nathalia peixoto', 'maryam parsa', 'pilgyu kang', 'shima mohebbi', 'ilhan izmirli', 'shanjiang zhu', 'sean luke', 'paulo costa']","[0.15604072102755023, 0.11837656897650048, 0.11189084777289188, 0.11018991068031497, 0.10646442934124245, 0.10641080161874089, 0.10561131019141592, 0.10549170295056473, 0.10070176299560268, 0.09715768843450256]"
101,thermal based transport,"['david binning', 'kenneth pasiah', 'pilgyu kang', 'nathalia peixoto', 'shima mohebbi', 'maryam parsa', 'shanjiang zhu', 'ilhan izmirli', 'paulo costa', 'zhi tian']","[0.1582860266446057, 0.12007991649694523, 0.11630378346515294, 0.11350087076783313, 0.11263510014932383, 0.11177545850247397, 0.11146838248682331, 0.10713097548414105, 0.09855571263065835, 0.0946698395878852]"
102,high temperature tribology,"['wenying ji', 'sara lynn gopalkrishna', 'david lattanzi', 'sai manoj pudukotai dinakarrao', 'david binning', 'nathalia peixoto', 'filipe veiga', 'mohamed ibrahem', 'zoran duric', 'pilgyu kang']","[0.14446302370292302, 0.09931326192185401, 0.09023301179458422, 0.0793944252995119, 0.06882001158461117, 0.06810052246069989, 0.05991617598940588, 0.0595879571531124, 0.0590240205812357, 0.05815189173257646]"
103,nano scale surface engineering,"['pilgyu kang', 'md tanvir arafin', 'ilhan izmirli', 'kenneth pasiah', 'kuochu chang', 'david lattanzi', 'nora mcdonald', 'zoran duric', 'david kepplinger', 'david binning']","[0.14075269359666615, 0.12887088267919844, 0.12025657051584077, 0.1038018785818769, 0.09695169920814642, 0.09464123927835746, 0.09062173076067051, 0.08571817324793918, 0.08526030868925788, 0.07773460387615644]"
104,indentation scratch,"['pilgyu kang', 'ilhan izmirli', 'david kepplinger', 'david binning', 'david lattanzi', 'kenneth pasiah', 'zoran duric', 'quentin sanders', 'zhi tian', 'shanjiang zhu']","[0.11268723396380222, 0.08424320314754177, 0.07963641376124943, 0.0777933380015561, 0.07139884049224553, 0.06786846816903419, 0.06672006408545297, 0.06463956203828576, 0.06213697660012, 0.06048122821686859]"
105,additive manufacturing,"['david lattanzi', 'hoda hassan', 'quentin sanders', 'wenying ji', 'pei dong', 'ilhan izmirli', 'gregory stein', 'zoran duric', 'peggy brouse', 'paulo costa']","[0.07082408745875918, 0.060783067385483086, 0.03989640385035983, 0.03779644730092272, 0.023087854826980506, 0.021935826771529627, 0.01937783959983007, 0.01853123291652753, 0.01543033499620919, 0.014734589232268476]"
106,electrocatalysts,"['giacomo francisci', 'jason goldberg', 'saad karamat', 'ana gonzalez hernandez', 'jana kosecka', 'erion plaku', 'fang yi yu', 'haikun huang', 'lannan lisa luo', 'maha shamseddine']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
107,energy generation storage,"['lap fai craig yu', 'pilgyu kang', 'hoda hassan', 'maryam parsa', 'omoche cheche agada', 'pei dong', 'sai manoj pudukotai dinakarrao', 'david lattanzi', 'kenneth pasiah', 'filipe veiga']","[0.10067340828210365, 0.07941225539113159, 0.07931439675212087, 0.07632031385908294, 0.07143141871980205, 0.07029586526142172, 0.068476465853411, 0.061611125312096816, 0.058564714332532575, 0.05454770862957417]"
108,fabric synthesis,"['david lattanzi', 'wenying ji', 'ilhan izmirli', 'jyh ming lien', 'paulo costa', 'gregory stein', 'david kepplinger', 'filipe veiga', 'kuochu chang', 'hoda hassan']","[0.04519846147055687, 0.04020151261036849, 0.034997472496031856, 0.02707651805369412, 0.023508271959274057, 0.020610891199164323, 0.017644616831014637, 0.01667361545440517, 0.016268229359378595, 0.016162704595880897]"
109,plasonics nanophotonics,"['giacomo francisci', 'jason goldberg', 'saad karamat', 'ana gonzalez hernandez', 'jana kosecka', 'erion plaku', 'fang yi yu', 'haikun huang', 'lannan lisa luo', 'maha shamseddine']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
110,two dimensional materials,"['ilhan izmirli', 'kenneth pasiah', 'omoche cheche agada', 'nora mcdonald', 'david lattanzi', 'sai manoj pudukotai dinakarrao', 'shima mohebbi', 'mohamed ibrahem', 'kuochu chang', 'wenying ji']","[0.07582785707473569, 0.042963587678107554, 0.04093962091920629, 0.03836078769656734, 0.03389884610291765, 0.026164028884099133, 0.023508271959274057, 0.021320071635561044, 0.020335286699223243, 0.020100756305184243]"
