names,ProfileLinks,topics,citations,titles
Kris Gaj,https://scholar.google.com//citations?hl=en&user=Dy9vmegAAAAJ,"Cryptography, Digital System Design, Computer Engineering",6157,George Mason University
Kuochu Chang,https://scholar.google.com//citations?hl=en&user=5DmlicUAAAAJ,data fusion,6038,"Professor, George mason university"
Anthony B. Sanders,https://scholar.google.com//citations?hl=en&user=9pzp818AAAAJ,"Securities Markets, Interest Rates",5996,"Distinguished Professor of Finance, George Mason University"
Brenda Bannan,https://scholar.google.com//citations?hl=en&user=PoIBXgEAAAAJ,"Internet of Things, Mobile behavioral analytics, Educational Design Research, learning analytics, simulations",5950,George Mason University
James N. Cooper,https://scholar.google.com//citations?hl=en&user=7U9L2CAAAAAJ,"Medicine, Molecular Medicine, Gastroenterology, Hepatology",5949,George Mason University/ Inova Fairfax Medical Center
Paul Schopf,https://scholar.google.com//citations?hl=en&user=HmJx7LEAAAAJ,"Climate, Oceanography, El Nino",5928,"Professor of Oceanography, George Mason University"
Seth Kaplan,https://scholar.google.com//citations?hl=en&user=Qlhi2hEAAAAJ,,5915,George Mason University
Timothy W. Curby,https://scholar.google.com//citations?hl=en&user=LBxYkRUAAAAJ,"Developmental Psychology, Educational Psychology, Emotion-Focused Teaching, Quantitative Methods",5855,"Professor of Applied Developmental Psychology, George Mason University"
Fred Bemak,https://scholar.google.com//citations?hl=en&user=5rQOF_YAAAAJ,,5842,"Professor, George Mason University"
Joshua D. Wright,https://scholar.google.com//citations?hl=en&user=MCgx4CUAAAAJ,"antitrust, economics, law and economics, regulation, consumer protection",5828,Scalia Law School at George Mason University
Pamela M. Greenwood,https://scholar.google.com//citations?hl=en&user=bnb4FIkAAAAJ,"cognitive aging, genetics of cognitive aging, cognitive training",5826,"Associate Professor of Psychology, George Mason University"
Kathleen Hunt,https://scholar.google.com//citations?hl=en&user=Jc6DmVIAAAAJ,"Physiology, Endocrinology, Marine Mammalogy, Sea Turtles, Conservation Biology",5810,Smithsonian-Mason School of Conservation / GMU
Hakan Aydin,https://scholar.google.com//citations?hl=en&user=MTMmNecAAAAJ,"Sustainable Computing, Real-Time Embedded Systems, Fault Tolerance, Internet-of-Things, Cyber-Physical Systems",5795,"Professor, Department of Computer Science, George Mason University"
mohamed aziz,https://scholar.google.com//citations?hl=en&user=CuV6BrsAAAAJ,Education psychology,5782,GMU
Robin Hanson,https://scholar.google.com//citations?hl=en&user=PjIP_WcAAAAJ,,5567,"Associate Professor of Economics, George Mason University"
Rita Chung,https://scholar.google.com//citations?hl=en&user=5TYi10oAAAAJ,,5506,George Mason University
Bohua Huang,https://scholar.google.com//citations?hl=en&user=8d0HhLgAAAAJ,"Atmospheric Science, Physical Oceanography, Climate",5430,"Professor, George Mason University"
Daniel Klein,https://scholar.google.com//citations?hl=en&user=ruWqA6sAAAAJ,"political economy, moral philosophy",5421,"Professor of Economics, George Mason University"
Bijan Jabbari,https://scholar.google.com//citations?hl=en&user=JNnAAS4AAAAJ,"Wireless Communications & Networks, Resource Allocation, Modeling and Performance Evaluation",5420,George Mason University
James Witte,https://scholar.google.com//citations?hl=en&user=BBAzNVMAAAAJ,sociology,5396,George Mason University
Tolga Soyata,https://scholar.google.com//citations?hl=en&user=QnRaxS0AAAAJ,"Cyber Physical Systems, Autonomous Systems, Digital Health (D-health), GPU Computing, VLSI",5339,George Mason University
Hideko Hamada Bassett,https://scholar.google.com//citations?hl=en&user=Joc1udEAAAAJ,Social and Emotional Development,5304,George Mason University
Pei Dong,https://scholar.google.com//citations?hl=en&user=Bz4c55IAAAAJ,"Materials Science, Energy, Water treatment",5275,George Mason University
Teresa Myers,https://scholar.google.com//citations?hl=en&user=vbAv5R4AAAAJ,"Public opinion, Climate change communication, Environmental communication, Science communication, Political communication",5274,"Research Associate Professor, Center for Climate Change Communication, George Mason …"
Catherine Durnell Cramton,https://scholar.google.com//citations?hl=en&user=ZKMynCQAAAAJ,"Global teams, Coordination, Virtual teams",5268,"Professor of Management, George Mason University"
Mariaelena Pierobon,https://scholar.google.com//citations?hl=en&user=vjQLi5YAAAAJ,"Cancer, precision medicine, tumor microenvironment",5231,George Mason University
Yuntao Wu,https://scholar.google.com//citations?hl=en&user=-XOeOoMAAAAJ,HIV infection and Immunology,5213,George Mason University
Christopher S. Koper,https://scholar.google.com//citations?hl=en&user=CL4PAO8AAAAJ,"Firearms, violence, policing, program evaluation",5210,George Mason University
"Jhumka Gupta, ScD, MPH",https://scholar.google.com//citations?hl=en&user=z2v-IboAAAAJ,"Violence against women and girls, migrant and refugee health, endometriosis",5190,George Mason University
Michael Summers,https://scholar.google.com//citations?hl=en&user=Prhmo0AAAAAJ,Planetary Science,5180,George Mason University
Robert Handler,https://scholar.google.com//citations?hl=en&user=7FvOwPIAAAAJ,"fluid mechanics, turbulence, viscoelastic fluids, air-sea gas transport",5120,"Professor of Mechanical Engineering, George Mason University"
