names,ProfileLinks,topics,citations,titles
Steven Rose,https://scholar.google.com//citations?hl=en&user=_mEBHUoAAAAJ,"CYF, Small Groups",622,George Mason University
Shima Mohebbi,https://scholar.google.com//citations?hl=en&user=78016nUAAAAJ,"Game theory, Simulation, Network optimization, Stochastic models, Machine learning",621,"Assistant Professor, George Mason University"
Kari Jeanne Visconti,https://scholar.google.com//citations?hl=en&user=4Dgxf70AAAAJ,"Developmental psychology, peer relationships, peer victimization",620,"Assistant Professor of Psychology, George Mason University"
Erwin Dekker,https://scholar.google.com//citations?hl=en&user=b-1SmeIAAAAJ,"History of Economics, Economics of the Arts, Austrian Economics, Economic Sociology, Jan Tinbergen",615,Senior Research Fellow at the Mercatus Center at George Mason University
Géraldine Walther,https://scholar.google.com//citations?hl=en&user=fMsDs2oAAAAJ,"Linguistics, NLP, Cognitive Science",610,George Mason University
Meghna Thakur,https://scholar.google.com//citations?hl=en&user=2sf8oC4AAAAJ,Molecular Biology,600,George Mason University
Katherine Scafide,https://scholar.google.com//citations?hl=en&user=vH6Z97EAAAAJ,,591,George Mason University
Nathan M. Palmer,https://scholar.google.com//citations?hl=en&user=ZBwBJC4AAAAJ,"Computational Economics, Consumption, Learning, Pricing, Agent-based simulation",588,"PhD Candidate Computational Social Science, George Mason University"
Carol Cleaveland,https://scholar.google.com//citations?hl=en&user=yW0Pg2IAAAAJ,"immigration, Latinos, trauma, poverty, work",588,"Associate Professor, Social Work, George Mason University"
Terrence Chorvat,https://scholar.google.com//citations?hl=en&user=aMuhgvMAAAAJ,Tax Law,587,George Mason University
Karen Trister Grace,https://scholar.google.com//citations?hl=en&user=aN4iN3AAAAAJ,,586,"Assistant Professor, George Mason University"
Rosolino Candela,https://scholar.google.com//citations?hl=en&user=Oz9-RkUAAAAJ,,585,Mercatus Center at George Mason University
Rafique Islam,https://scholar.google.com//citations?hl=en&user=1ObY07MAAAAJ,Lipid metabolism,584,"George Mason University, National Institute of Health"
Min Sun,https://scholar.google.com//citations?hl=en&user=MSpNTvQAAAAJ,"Spatial analysis, Data uncertainty, Scientific visualization, WebGIS",578,George Mason University
Yongyao Jiang,https://scholar.google.com//citations?hl=en&user=hsVFXXQAAAAJ,"Spatial Data Science, Information Retrieval, Software Engineering, Distributed System",578,"Ph.D. in Geo-Information Science, George Mason University"
Megan Stoltz,https://scholar.google.com//citations?hl=en&user=44KimuYAAAAJ,,578,George Mason University
Sridevi Polavaram,https://scholar.google.com//citations?hl=en&user=ve9o_gEAAAAJ,"Neuroscience, Applied Computer Science, Neuroinformatics, Systems Engineering, Graph theory",577,"Research Faculty/Sr. Systems Engineer, Neuroscience, George Mason University"
Hamdi Kavak,https://scholar.google.com//citations?hl=en&user=udTYdPAAAAAJ,"modeling and simulation, data science, machine learning, cybersecurity, urban science",574,Assistant Professor at George Mason University
Stephanie Carmack,https://scholar.google.com//citations?hl=en&user=uZHRyvAAAAAJ,"Learning and Memory, Addiction",574,"Center for Adaptive Systems of Brain-Body Interactions, George Mason University"
Evgenios M. Kornaropoulos,https://scholar.google.com//citations?hl=en&user=2s0r_AkAAAAJ,"Computer Security, Applied Cryptography, Privacy, Algorithms",572,George Mason University
Dr. Melissa Broeckelman-Post,https://scholar.google.com//citations?hl=en&user=FX7M3-4AAAAJ,"communication assessment, communication pedagogy, instructional communication, introductory communication course",572,"Basic Course Director and Professor of Communication, George Mason University"
Ziwei Zhu,https://scholar.google.com//citations?hl=en&user=3S6pM7wAAAAJ,"data mining, information retrieval, machine learning, responsible AI",569,Assistant Professor at George Mason University
Douglas Irvin-Erickson,https://scholar.google.com//citations?hl=en&user=GYkem-gAAAAJ,"Genocide, Peace and Conflict Studies, Raphael Lemkin, Cambodia, Burundi",568,"Assistant Professor, George Mason University"
Suzanne W. Slayden,https://scholar.google.com//citations?hl=en&user=8cBg_EoAAAAJ,,566,George Mason University
Denise Albanese,https://scholar.google.com//citations?hl=en&user=RH1uy3sAAAAJ,"Cultural Studies, Early Modern England",564,George Mason University
Mojtaba Zare,https://scholar.google.com//citations?hl=en&user=LCOPZ84AAAAJ,"Data Science, Machine Learning, Deep Learning, Healthcare",562,George Mason University
Theodore R. Breton,https://scholar.google.com//citations?hl=en&user=mmGfzMcAAAAJ,"human capital, education, economic growth, international test scores, Penn World Table",556,George Mason University
Linghan Zhang,https://scholar.google.com//citations?hl=en&user=hoRDPfEAAAAJ,"Biometric, Voice Authentication, Mobile Security, Acoustic Sensing, Wireless Sensing",554,George Mason University
Liza Wilson Durant,https://scholar.google.com//citations?hl=en&user=SX51aXQAAAAJ,,552,"Professor, George Mason University"
Rachel Coyne,https://scholar.google.com//citations?hl=en&user=2GqiEQgAAAAJ,"Public Economics, Economic Development",548,George Mason University
Dan Fleck,https://scholar.google.com//citations?hl=en&user=KZzCRZAAAAAJ,,546,"Professor of Computer Science, George Mason University"
Ismail AlQerm,https://scholar.google.com//citations?hl=en&user=GPwnUbQAAAAJ,"Edge Computing, Machine Learning, IoT, 5G, Cognitive Radios",542,"PhD, Postdoctoral Research Fellow, George Mason University"
Priyanka Anand,https://scholar.google.com//citations?hl=en&user=BdGh2ZAAAAAJ,"Health, Labor, Disability",542,"Associate Professor, George Mason University"
Paige Trojanowski,https://scholar.google.com//citations?hl=en&user=KIrefHUAAAAJ,"type 1 diabetes, eating disorders, prevention, weight stigma, adherence",541,George Mason University
Kate Hendricks Thomas,https://scholar.google.com//citations?hl=en&user=nl5PSHQAAAAJ,"Health, military social work, veterans, womens health",539,George Mason University Department of Global and Community Health
Emad Aghaei,https://scholar.google.com//citations?hl=en&user=oMsHJKQAAAAJ,"Software Engineering, Human-Computer Interaction",535,"Software Development Tools Researcher, George Mason University"
Michael Wolf-Branigin,https://scholar.google.com//citations?hl=en&user=EiOfKTEAAAAJ,,534,"Professor, George Mason University"
Timothy  F Donato,https://scholar.google.com//citations?hl=en&user=eOpdjP0AAAAJ,"Littoral Oceanography, Earth System Science, Remote Sensing",533,Department of Geography and GeoInformation Science George Mason University
Xiaoyan Tan,https://scholar.google.com//citations?hl=en&user=_TvjHkQAAAAJ,,533,George Mason University
Toya Jones Frank,https://scholar.google.com//citations?hl=en&user=nWqLGEkAAAAJ,"Mathematics Education, Equity, Teacher Education",532,"College of Education and Human Development, George Mason University"
Long Jiao,https://scholar.google.com//citations?hl=en&user=lMtcRhsAAAAJ,"Privacy protection, 5G security, Wireless Communication Systems",530,"phD candidate, George Mason University"
Esperanza Román Mendoza,https://scholar.google.com//citations?hl=en&user=UtbGan0AAAAJ,"elearning, Spanish for heritage speakers, critical digital pedagogy, second language acquisition",524,"Full Professor, George Mason University"
Patrick Wheatley,https://scholar.google.com//citations?hl=en&user=MjoPkn4AAAAJ,"Stable Isotope Geochemistry, Paleoecology, Ecology, GIS",521,George Mason Univeristy
Matt Holzer,https://scholar.google.com//citations?hl=en&user=uwF4uNoAAAAJ,"Differential Equations, Dynamical Systems, Traveling Waves, Pattern Formation",520,"Associate Professor, Mathematical Sciences, George Mason University"
Gilbert Gimm,https://scholar.google.com//citations?hl=en&user=CI6QyjEAAAAJ,"Disability, Access to Care, Health Policy, Government Payments",518,George Mason University
Edmund J. Zolnik,https://scholar.google.com//citations?hl=en&user=muAXy-UAAAAJ,Transportation,516,George Mason University
Sean Lawton,https://scholar.google.com//citations?hl=en&user=PPP9EmYAAAAJ,"Differential Geometry, Algebraic Geometry, Algebraic Topology, Dynamics",514,George Mason University
Caroline Cecot,https://scholar.google.com//citations?hl=en&user=nK68qekAAAAJ,"Environmental Law, Administrative Law",512,"Assistant Professor of Law, Antonin Scalia Law School at George Mason University"
JW Verret,https://scholar.google.com//citations?hl=en&user=O24uK4wAAAAJ,,502,"professor of law, george mason"
Tonya Neaves,https://scholar.google.com//citations?hl=en&user=ZVyN4KEAAAAJ,"emergency management, critical infrastructure, community resilience, traffic safety",499,"Assistant Professor, George Mason University"
Rosa Akbarzadeh,https://scholar.google.com//citations?hl=en&user=pVoTG8EAAAAJ,,498,George Mason University
Heidi Blackburn,https://scholar.google.com//citations?hl=en&user=a5m5EAoAAAAJ,"Women in STEM, STEM in higher education, libraries",490,George Mason University
Ioannis (Yannis) Bellos,https://scholar.google.com//citations?hl=en&user=NVEreicAAAAJ,"Sustainable operations, sharing and access economy, service design, servicizing, innovative business models",489,"Associate Professor, George Mason University, School of Business, ISOM"
Aida Vosoughi,https://scholar.google.com//citations?hl=en&user=rU5KUZgAAAAJ,"Trust management, Cognitive Radio, Encryption, Data compression, VLSI design",488,"Adjunct Faculty, George Mason University"
Andrew Novak,https://scholar.google.com//citations?hl=en&user=4QUWSocAAAAJ,"death penalty, sport history, African law, comparative law, comparative punishment",476,"Instructional Associate Professor of Criminology, Law, and Society, George Mason …"
Maryam Ahmadian,https://scholar.google.com//citations?hl=en&user=dobwjnEAAAAJ,"Social Sciences, Community Development, Health Promotion, Social and Preventive Medicine, Public health",471,"Former Affiliate Faculty,George Mason University"
Han Qin,https://scholar.google.com//citations?hl=en&user=brZ3eZIAAAAJ,"Geospatial Data Science, Machine Learning, AI",467,George Mason University
Kelly Knight,https://scholar.google.com//citations?hl=en&user=o8h5Bn0AAAAJ,"Forensic science, STEM education, Forensic DNA",466,"Associate Professor, George Mason University"
Lokesh Dani,https://scholar.google.com//citations?hl=en&user=f0WTVuQAAAAJ,"Entrepreneurship, Ecosystems, Workforce, Data Analytics, Natural Language Processing",465,"PhD, George Mason University"
Larrie Ferreiro,https://scholar.google.com//citations?hl=en&user=rc54TjcAAAAJ,"History of science, history of technology, naval architecture",461,George Mason University
Rebecca F. Goldin,https://scholar.google.com//citations?hl=en&user=3lIcoKUAAAAJ,,461,"Professor of Mathematical Sciences, George Mason University"
Jin R. Lee,https://scholar.google.com//citations?hl=en&user=sRDgWaUAAAAJ,"Criminology, Criminal Justice, Cybercrime, Cybersecurity, Online Interpersonal Violence",460,"Assistant Professor, Department of Criminology, Law and Society, George Mason University"
Joel Martin,https://scholar.google.com//citations?hl=en&user=HNZ6Fd8AAAAJ,Tactical health and fitness,459,"Sports Medicine Assessment Research and Testing (SMART) Lab, George Mason …"
Carole Rosenstein,https://scholar.google.com//citations?hl=en&user=oG48iV4AAAAJ,"Cultural Policy, Arts Management, Arts Administration, Cultural Management, Cultural Planning",456,"Professor of Arts Management, George Mason University"
EUNKYOUNG PARK,https://scholar.google.com//citations?hl=en&user=ADOD84UAAAAJ,Higher Education,451,GEORGE MASON UNIVERSITY
Qi Wei,https://scholar.google.com//citations?hl=en&user=SjgZ5ggAAAAJ,"Biomechanics, modeling and simulation, biomedical imaging",451,"Associate Professor of Bioengineering, George Mason University"
Quan Jia,https://scholar.google.com//citations?hl=en&user=tGz3IisAAAAJ,Cyber Security,450,George Mason University
Maria Malik,https://scholar.google.com//citations?hl=en&user=dLRTfgIAAAAJ,,444,"Intel-CA, George Mason University-VA, George Washington University-DC"
Heidi J. Graff,https://scholar.google.com//citations?hl=en&user=Uqc79WUAAAAJ,"intellectual disabilities, autism, postsecondary education",443,George Mason University
Levi Van Sant,https://scholar.google.com//citations?hl=en&user=Xtz9Zq0AAAAJ,"environmental justice, land, conservation, social reproduction theory",442,George Mason University
Maryam Parsa,https://scholar.google.com//citations?hl=en&user=j8duWkwAAAAJ,"Neuromorphic Computing, Bayesian Optimization",442,"Assistant Professor, Electrical and Computer Engineering, George Mason University"
Luis Ortiz,https://scholar.google.com//citations?hl=en&user=DiaG2YsAAAAJ,"Urban climate, heat waves, climate impacts, building science, energy",441,"Assistant Professor, George Mason University"
Robert J. McGrath,https://scholar.google.com//citations?hl=en&user=kQEBg6wAAAAJ,"American institutions, interbranch politics, American state politics, comparative administrative politics, public policy",439,"Associate Professor, George Mason University"
Sanmei Li,https://scholar.google.com//citations?hl=en&user=IIbme_UAAAAJ,,436,George Mason University
